"Taxa","ClimateZone","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Taxa112","BSh","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__IIb","f__","g__","s__"
"Taxa112","ET","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__IIb","f__","g__","s__"
"Taxa114","Aw","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylocystaceae","g__","s__"
"Taxa116","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Ellin329","f__","g__","s__"
"Taxa117","Af","k__Bacteria","p__Chlorobi","c__SJA-28","o__","f__","g__","s__"
"Taxa118","Aw","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__viridiflava"
"Taxa119","Am","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa119","Dwc","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa122","Dwb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa124","Csb","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","","","",""
"Taxa125","Dwb","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__Opitutus","s__"
"Taxa127","Am","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa128","Cfa","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__[Leptospirillaceae]","g__","s__"
"Taxa128","Dwb","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__[Leptospirillaceae]","g__","s__"
"Taxa129","Am","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Luteimonas","s__"
"Taxa129","Csb","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Luteimonas","s__"
"Taxa13","Dfc","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__"
"Taxa130","Dfa","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"Taxa133","Csb","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__CCU21","f__","g__","s__"
"Taxa133","Dwc","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__CCU21","f__","g__","s__"
"Taxa134","Cfb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa136","Dwb","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__11-24","f__","g__","s__"
"Taxa137","Cwb","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Kineosporiaceae","g__","s__"
"Taxa138","Csb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa14","Aw","k__Bacteria","","","","","",""
"Taxa14","Dwc","k__Bacteria","","","","","",""
"Taxa140","Cfb","k__Bacteria","p__Acidobacteria","","","","",""
"Taxa141","Cwb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Kaistobacter","s__"
"Taxa142","Dwc","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__0319-6A21","g__","s__"
"Taxa144","BSk","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin515","g__","s__"
"Taxa144","Cfa","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin515","g__","s__"
"Taxa144","Dfa","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin515","g__","s__"
"Taxa145","BSk","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa146","Csa","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","",""
"Taxa147","Cfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa147","Cwb","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa148","Aw","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__"
"Taxa150","Cfb","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__H39","f__","g__","s__"
"Taxa150","Csb","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__H39","f__","g__","s__"
"Taxa151","Dfa","k__Bacteria","p__WS3","c__PRR-12","o__LD1-PA13","f__","g__","s__"
"Taxa152","Cwb","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__EB1017","g__","s__"
"Taxa157","Af","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa157","Am","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa157","Aw","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa157","Dfc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa158","Dfc","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"Taxa159","Dwc","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa160","Dwb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","",""
"Taxa161","EF","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","","",""
"Taxa163","ET","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__C111","g__","s__"
"Taxa165","Csb","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__Niabella","s__"
"Taxa166","BSk","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__Chthoniobacter","s__"
"Taxa169","Af","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__"
"Taxa169","Cfa","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__"
"Taxa174","BSk","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin517","g__","s__"
"Taxa175","BWh","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa176","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__CCU21","f__","g__","s__"
"Taxa179","ET","k__Bacteria","p__Acidobacteria","c__iii1-8","o__32-20","f__","g__","s__"
"Taxa181","Dfc","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa185","Am","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__0319-6A21","g__","s__"
"Taxa186","Csa","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__cereus"
"Taxa190","ET","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__","s__"
"Taxa193","Cfb","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa196","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"Taxa197","Cfb","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__"
"Taxa2","BSk","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa20","Am","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","","",""
"Taxa20","BWk","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","","",""
"Taxa205","Dwc","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","","","",""
"Taxa206","Dfa","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","",""
"Taxa206","Dwc","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","",""
"Taxa207","Cfa","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa208","BSh","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa208","Dfc","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa209","Cfa","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa210","Af","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__"
"Taxa210","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__"
"Taxa211","BSk","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa211","BWh","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa212","ET","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__CCU21","f__","g__","s__"
"Taxa213","Dfb","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__Candidatus Solibacter","s__"
"Taxa214","Aw","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa214","Csb","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa216","ET","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__EB1017","g__","s__"
"Taxa217","Dwb","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__","g__","s__"
"Taxa218","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__Candidatus Koribacter","s__"
"Taxa219","Cfa","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","","",""
"Taxa22","Dfc","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa22","EF","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa220","Dfb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__0319-6G20","g__","s__"
"Taxa222","Cfb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","",""
"Taxa223","BSh","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa223","Cfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa223","Dfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa225","Am","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__"
"Taxa225","Aw","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__"
"Taxa226","BSk","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__","g__","s__"
"Taxa227","Dwb","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__FAC88","f__","g__","s__"
"Taxa228","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__mb2424","g__","s__"
"Taxa229","Dfa","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__0319-6A21","g__","s__"
"Taxa23","Cwb","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa234","Cfb","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa236","Dfa","k__Bacteria","p__Acidobacteria","c__DA052","o__Ellin6513","f__","g__","s__"
"Taxa237","Csb","k__Bacteria","p__Planctomycetes","c__Pla4","o__","f__","g__","s__"
"Taxa239","Csb","k__Bacteria","p__Chloroflexi","c__Gitt-GS-136","o__","f__","g__","s__"
"Taxa240","Csb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfuromonadales","f__Geobacteraceae","g__Geobacter",""
"Taxa242","Aw","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__EB1017","g__","s__"
"Taxa242","ET","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__EB1017","g__","s__"
"Taxa246","Dfb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"Taxa247","BSh","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa248","Csb","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__","s__"
"Taxa248","Dfc","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__","s__"
"Taxa253","Dwc","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__Flavisolibacter","s__"
"Taxa253","EF","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__Flavisolibacter","s__"
"Taxa259","Dfa","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","","","",""
"Taxa26","BWk","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa260","Cfa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__IS-44","f__","g__","s__"
"Taxa260","Cwb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__IS-44","f__","g__","s__"
"Taxa261","Am","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa261","Dwc","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa264","Af","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","","","",""
"Taxa265","Am","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa265","Cfb","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa265","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa265","Dfc","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa266","Am","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","","",""
"Taxa267","Af","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","","","",""
"Taxa267","BWk","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","","","",""
"Taxa269","Dfb","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa27","Am","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","","","",""
"Taxa273","BSh","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa274","BWk","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__","g__","s__"
"Taxa275","Af","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa278","Dfc","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa28","Csa","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa281","Dwb","k__Bacteria","p__Chloroflexi","c__Ellin6529","o__","f__","g__","s__"
"Taxa284","EF","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__"
"Taxa29","Aw","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Ellin5290","f__","g__","s__"
"Taxa290","Dfa","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","","",""
"Taxa292","BWh","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa292","Cfb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa293","Aw","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__auto67_4W","g__","s__"
"Taxa293","Dfa","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__auto67_4W","g__","s__"
"Taxa297","Cfb","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa297","Dfc","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa298","BSk","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"Taxa298","Dfb","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"Taxa301","Cfa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","","",""
"Taxa302","Dfb","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","","",""
"Taxa304","Aw","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa304","Cfa","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa307","Dfc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","","","",""
"Taxa312","Dfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__A17","s__"
"Taxa313","Dwc","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__OPB35","g__","s__"
"Taxa318","Aw","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","",""
"Taxa318","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","",""
"Taxa319","Aw","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa319","Cfa","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa319","Dwc","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa32","BSk","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","",""
"Taxa320","Af","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nocardioidaceae","g__Kribbella","s__"
"Taxa321","BSk","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Bdellovibrionales","f__Bdellovibrionaceae","g__","s__"
"Taxa321","Csb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Bdellovibrionales","f__Bdellovibrionaceae","g__","s__"
"Taxa322","Af","k__Bacteria","p__Planctomycetes","c__OM190","o__agg27","f__","g__","s__"
"Taxa323","Am","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa323","EF","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa324","Dfb","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Conexibacteraceae","g__","s__"
"Taxa327","Dwb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__","s__"
"Taxa327","EF","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__","s__"
"Taxa329","Aw","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa33","Cfb","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin517","g__","s__"
"Taxa333","Cfb","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa333","Dwc","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa336","Cwb","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin517","g__","s__"
"Taxa336","Dfa","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin517","g__","s__"
"Taxa338","BSk","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa338","Cfa","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa338","Cwb","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__"
"Taxa34","Dwc","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","","","",""
"Taxa340","BWh","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","g__","s__"
"Taxa341","BSk","k__Bacteria","p__Chloroflexi","c__TK10","o__AKYG885","f__Dolo_23","g__","s__"
"Taxa341","Csb","k__Bacteria","p__Chloroflexi","c__TK10","o__AKYG885","f__Dolo_23","g__","s__"
"Taxa342","Af","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa342","Cfb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa342","Dwb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa344","BSh","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__","s__"
"Taxa345","Cfa","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa345","Dfa","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa346","Csb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"Taxa347","Af","k__Bacteria","","","","","",""
"Taxa347","Cwb","k__Bacteria","","","","","",""
"Taxa351","BSh","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__Iamia","s__"
"Taxa351","EF","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__Iamia","s__"
"Taxa352","Am","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__"
"Taxa353","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa356","Cfb","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__EB1017","g__","s__"
"Taxa358","BSh","k__Bacteria","p__Planctomycetes","c__C6","o__MVS-107","f__","g__","s__"
"Taxa360","Dwc","k__Bacteria","p__Acidobacteria","c__","o__","f__","g__","s__"
"Taxa361","Dwc","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium",""
"Taxa363","Cfa","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa365","Csb","k__Bacteria","p__Planctomycetes","c__vadinHA49","o__DH61","f__","g__","s__"
"Taxa365","Dwb","k__Bacteria","p__Planctomycetes","c__vadinHA49","o__DH61","f__","g__","s__"
"Taxa366","Cfa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"Taxa368","Af","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa37","Cfb","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__CCU21","f__","g__","s__"
